data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK
20120102;0.1095;3.4454;3.5229;0.4437;3.3799;2.6816;2.656;4.464;1.4161;3.6668;5.348;0.43;4.4786;0.1751;0.6006;2.8129;0.5759;0.5006
20120103;0.1091;3.4277;3.5345;0.4412;3.3786;2.6964;2.6621;4.4597;1.4155;3.6622;5.3394;0.4296;4.4601;0.1748;0.5998;2.8061;0.5765;0.5008
20120104;0.1091;3.432;3.5528;0.4418;3.3887;2.7084;2.6687;4.4753;1.4009;3.6714;5.3712;0.4262;4.4787;0.1738;0.6018;2.8147;0.5805;0.5037
20120105;0.1111;3.5081;3.602;0.4518;3.4449;2.7447;2.7145;4.5135;1.402;3.7037;5.4616;0.4361;4.5679;0.1742;0.607;2.8515;0.5874;0.5098
20120109;0.1106;3.515;3.5949;0.4526;3.4201;2.7599;2.7081;4.4902;1.4302;3.694;5.4269;0.436;4.5727;0.174;0.6038;2.8398;0.5854;0.5079
20120110;0.1109;3.5083;3.6206;0.4517;3.4429;2.7864;2.722;4.4883;1.4292;3.7015;5.4328;0.4364;4.5659;0.1738;0.6035;2.8372;0.5853;0.5085
20120111;0.1102;3.4919;3.6053;0.4495;3.443;2.7801;2.7042;4.4645;1.4358;3.6807;5.4027;0.4342;4.5396;0.1733;0.6003;2.8169;0.5834;0.5068
20120112;0.1099;3.4945;3.6083;0.4497;3.4357;2.7832;2.7029;4.4532;1.4361;3.6756;5.3576;0.4357;4.5397;0.1733;0.5988;2.8023;0.5801;0.5038
20120113;0.1082;3.4323;3.5555;0.4419;3.3747;2.7283;2.6646;4.404;1.424;3.6376;5.2711;0.4267;4.4752;0.1724;0.5922;2.7655;0.5717;0.4956
20120116;0.1092;3.4798;3.5851;0.4483;3.4104;2.7622;2.6937;4.4056;1.42;3.6443;5.3324;0.4323;4.5306;0.1721;0.5925;2.772;0.5742;0.497
